Category1,Category2,Jaccard
Advanced_Air_Mobility.Advanced_Air_Mobility,Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,0.6464174454828661
Advanced_Air_Mobility.Advanced_Air_Mobility,Electrification_of_Aviation.Electrification_of_Aviation,0.6821282401091405
Advanced_Air_Mobility.Advanced_Air_Mobility,Hydrogen_Powered_Aviation.Hydrogen_Powered_Aviation,0.6161616161616161
Advanced_Air_Mobility.Advanced_Air_Mobility,Innovating.Aircraft_and_Component_Manufacturing,0.4864433811802233
Advanced_Air_Mobility.Advanced_Air_Mobility,Innovating.Infrastructure_Readiness,0.3327702702702703
Advanced_Air_Mobility.Advanced_Air_Mobility,Innovating.Safety_and_Reliability,0.2722602739726027
Advanced_Air_Mobility.Advanced_Air_Mobility,Innovating.Sustainable_Aviation_Fuels_and_Propulsion,0.40353697749196143
Advanced_Air_Mobility.Advanced_Air_Mobility,Operationalizing.Airline_Operations_and_Fleet_Management,0.19337979094076654
Advanced_Air_Mobility.Advanced_Air_Mobility,Operationalizing.Business_Model_Evolution,0.2465753424657534
Advanced_Air_Mobility.Advanced_Air_Mobility,Operationalizing.Economic_Viability,0.4119601328903654
Advanced_Air_Mobility.Advanced_Air_Mobility,Operationalizing.Fuel_Efficiency_and_Optimization,0.46905537459283386
Advanced_Air_Mobility.Advanced_Air_Mobility,Prognosticating.Equity_and_Inclusivity,0.3474714518760196
Advanced_Air_Mobility.Advanced_Air_Mobility,Prognosticating.Global_Coordination_of_Standards_and_Practices,0.42122719734660036
Advanced_Air_Mobility.Advanced_Air_Mobility,Prognosticating.Incentives_and_Penalties,0.30397236614853196
Advanced_Air_Mobility.Advanced_Air_Mobility,Prognosticating.Policies_Regulations_and_Standards,0.4554294975688817
Advanced_Air_Mobility.Advanced_Air_Mobility,Sustainable_Aviation_Fuels.Sustainable_Aviation_Fuels,0.6440677966101694
Advanced_Air_Mobility.Advanced_Air_Mobility,Synchronizing.Consumer_Trust_and_Engagement,0.35858585858585856
Advanced_Air_Mobility.Advanced_Air_Mobility,Synchronizing.Cost_Implications_and_Market_Demand,0.3870967741935484
Advanced_Air_Mobility.Advanced_Air_Mobility,Synchronizing.Investment_Funding_for_Innovation,0.26161790017211706
Advanced_Air_Mobility.Advanced_Air_Mobility,Synchronizing.Safety_and_Reliability_Perception,0.1426056338028169
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Advanced_Air_Mobility.Advanced_Air_Mobility,0.6464174454828661
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Electrification_of_Aviation.Electrification_of_Aviation,0.6305555555555555
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Hydrogen_Powered_Aviation.Hydrogen_Powered_Aviation,0.6298003072196621
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Innovating.Aircraft_and_Component_Manufacturing,0.515625
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Innovating.Infrastructure_Readiness,0.30124777183600715
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Innovating.Safety_and_Reliability,0.29300567107750475
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Innovating.Sustainable_Aviation_Fuels_and_Propulsion,0.41074523396880414
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Operationalizing.Airline_Operations_and_Fleet_Management,0.21553398058252426
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Operationalizing.Business_Model_Evolution,0.23431734317343172
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Operationalizing.Economic_Viability,0.3685121107266436
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Operationalizing.Fuel_Efficiency_and_Optimization,0.5439560439560439
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Prognosticating.Equity_and_Inclusivity,0.29124579124579125
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Prognosticating.Global_Coordination_of_Standards_and_Practices,0.3854166666666667
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Prognosticating.Incentives_and_Penalties,0.27007299270072993
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Prognosticating.Policies_Regulations_and_Standards,0.4196277495769882
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Sustainable_Aviation_Fuels.Sustainable_Aviation_Fuels,0.5563380281690141
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Synchronizing.Consumer_Trust_and_Engagement,0.3357142857142857
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Synchronizing.Cost_Implications_and_Market_Demand,0.3463587921847247
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Synchronizing.Investment_Funding_for_Innovation,0.22768670309653916
Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,Synchronizing.Safety_and_Reliability_Perception,0.14563106796116504
Electrification_of_Aviation.Electrification_of_Aviation,Advanced_Air_Mobility.Advanced_Air_Mobility,0.6821282401091405
Electrification_of_Aviation.Electrification_of_Aviation,Aircraft_Efficiency_and_Fleet_Optimization.Aircraft_Efficiency_and_Fleet_Optimization,0.6305555555555555
Electrification_of_Aviation.Electrification_of_Aviation,Hydrogen_Powered_Aviation.Hydrogen_Powered_Aviation,0.7324929971988795
Electrification_of_Aviation.Electrification_of_Aviation,Innovating.Aircraft_and_Component_Manufacturing,0.5137085137085137
Electrification_of_Aviation.Electrification_of_Aviation,Innovating.Infrastructure_Readiness,0.3284457478005865
Electrification_of_Aviation.Electrification_of_Aviation,Innovating.Safety_and_Reliability,0.2463768115942029
Electrification_of_Aviation.Electrification_of_Aviation,Innovating.Sustainable_Aviation_Fuels_and_Propulsion,0.45374449339207046
Electrification_of_Aviation.Electrification_of_Aviation,Operationalizing.Airline_Operations_and_Fleet_Management,0.16400580551523947
Electrification_of_Aviation.Electrification_of_Aviation,Operationalizing.Business_Model_Evolution,0.23177842565597667
Electrification_of_Aviation.Electrification_of_Aviation,Operationalizing.Economic_Viability,0.40756914119359533
Electrification_of_Aviation.Electrification_of_Aviation,Operationalizing.Fuel_Efficiency_and_Optimization,0.48326055312954874
Electrification_of_Aviation.Electrification_of_Aviation,Prognosticating.Equity_and_Inclusivity,0.34522111269614836
